base_rate,all_positive_f1,random_ap,max_f1,precision_at_max_f1,recall_at_max_f1,average_precision,recall_at_100_precision,recall_at_1,f1_over_all_positive,ap_over_random,overlap_ratio,method,runtime_sec,query_points,num_query_segments,num_reference_segments,cost_scale,lambda,distance_lambda,seed
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7683615819209039,0.6415094339622641,0.9577464788732394,0.6525108803409825,0.056338028169014086,0.1267605633802817,0.047549399179787066,0.08901881684891899,1.0,LPGW,4.108356959,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7395833333333334,0.5867768595041323,1.0,0.5488399486752072,0.056338028169014086,0.6056338028169014,0.018771150592216568,-0.014652114816856243,1.0,Hausdorff,0.2512304580000002,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7216494845360826,0.5691056910569106,0.9859154929577465,0.47298990147314635,0.0,0.16901408450704225,0.0008373017949657724,-0.09050216201891714,1.0,DTW,8.258696417,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7208121827411168,0.5634920634920635,1.0,0.4753764225668656,0.0,0.4788732394366197,0.0,-0.08811564092519791,1.0,Frechet,43.663237292,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7526881720430109,0.6086956521739131,0.9859154929577465,0.580865956416123,0.0,0.1267605633802817,0.03187598930189406,0.017373892924059553,0.8,LPGW,4.223701624999997,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.731958762886598,0.5772357723577236,1.0,0.503658869056279,0.028169014084507043,0.6056338028169014,0.0111465801454812,-0.0598331944357845,0.8,Hausdorff,0.25160574999999596,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7391304347826088,0.6017699115044248,0.9577464788732394,0.4769341328954492,0.0,0.15492957746478872,0.018318252041491956,-0.08655793059661426,0.8,DTW,8.255646542000008,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7282051282051282,0.5725806451612904,1.0,0.4688940162197004,0.0,0.38028169014084506,0.007392945464011369,-0.0945980472723631,0.8,Frechet,41.818420458000006,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7431693989071038,0.6071428571428571,0.9577464788732394,0.5642557390571729,0.014084507042253521,0.1267605633802817,0.02235721616598696,0.0007636755651093674,0.6,LPGW,4.409588624999998,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7208121827411168,0.5634920634920635,1.0,0.547836883597639,0.0,0.5633802816901409,0.0,-0.015655179894424442,0.6,Hausdorff,0.2502578750000026,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7357512953367876,0.5819672131147541,1.0,0.509677265862153,0.0,0.11267605633802817,0.014939112595670823,-0.05381479762991048,0.6,DTW,8.16439075000001,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7244897959183673,0.568,1.0,0.49880792144261726,0.0,0.2676056338028169,0.0036776131772504606,-0.06468414204944622,0.6,Frechet,42.696381917,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7357512953367876,0.5819672131147541,1.0,0.5287488060935918,0.014084507042253521,0.15492957746478872,0.014939112595670823,-0.03474325739847173,0.4,LPGW,5.013399542000002,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7282051282051282,0.5725806451612904,1.0,0.5775942454678303,0.028169014084507043,0.5915492957746479,0.007392945464011369,0.014102181975766848,0.4,Hausdorff,0.26312141599998995,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7446808510638298,0.5982905982905983,0.9859154929577465,0.5413458882401386,0.04225352112676056,0.15492957746478872,0.02386866832271295,-0.02214617525192486,0.4,DTW,9.456827333000007,100,126,90,56.53432887902825,2.0,0.5,42
0.5634920634920635,0.7208121827411168,0.5634920634920635,0.7244897959183673,0.568,1.0,0.5447025932059149,0.056338028169014086,0.2676056338028169,0.0036776131772504606,-0.018789470286148635,0.4,Frechet,43.19634350000001,100,126,90,56.53432887902825,2.0,0.5,42
