base_rate,all_positive_f1,random_ap,max_f1,precision_at_max_f1,recall_at_max_f1,average_precision,recall_at_100_precision,recall_at_1,f1_over_all_positive,ap_over_random,drift_fraction,drift_metres,method,runtime_sec,num_query_segments,num_reference_segments,centered,cost_scale,lambda,distance_lambda,seed
0.22,0.36065573770491804,0.22,0.36666666666666664,0.22448979591836735,1.0,0.17935130511450564,0.0,0.030303030303030304,0.006010928961748596,-0.04064869488549436,0.0,0.0,LPGW,3.453996042,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9705882352941176,0.9428571428571428,1.0,0.9973501246228518,0.9393939393939394,1.0,0.6099324975891995,0.7773501246228518,0.0,0.0,Hausdorff,6.728409,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9850746268656716,0.9705882352941176,1.0,0.9981904607573056,0.9393939393939394,1.0,0.6244188891607536,0.7781904607573056,0.0,0.0,DTW,71.132578459,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9705882352941176,0.9428571428571428,1.0,0.9973501246228518,0.9393939393939394,0.9696969696969697,0.6099324975891995,0.7773501246228518,0.0,0.0,Frechet,79.283859292,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.37426900584795325,0.2318840579710145,0.9696969696969697,0.24287048200091677,0.0,0.030303030303030304,0.013613268143035206,0.022870482000916764,0.005,11.202402832169346,LPGW,1.3179365000000018,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9850746268656716,0.9705882352941176,1.0,0.999108734402852,0.9696969696969697,0.9393939393939394,0.6244188891607536,0.779108734402852,0.005,11.202402832169346,Hausdorff,6.491154207999983,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9850746268656716,0.9705882352941176,1.0,0.9991087344028519,0.9696969696969697,0.9696969696969697,0.6244188891607536,0.7791087344028519,0.005,11.202402832169346,DTW,71.29374479199998,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9850746268656716,0.9705882352941176,1.0,0.999108734402852,0.9696969696969697,0.9393939393939394,0.6244188891607536,0.779108734402852,0.005,11.202402832169346,Frechet,79.21771883400004,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.3626373626373627,0.2214765100671141,1.0,0.2055069731170619,0.0,0.030303030303030304,0.0019816249324446367,-0.014493026882938104,0.01,22.404805664338692,LPGW,1.336035417000005,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,1.0,1.0,1.0,0.9999999999999998,1.0,0.6363636363636364,0.639344262295082,0.7799999999999998,0.01,22.404805664338692,Hausdorff,6.506773833000011,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9565217391304348,0.9166666666666666,1.0,0.9360843397306813,0.42424242424242425,0.5757575757575758,0.5958660014255168,0.7160843397306813,0.01,22.404805664338692,DTW,71.31754783299999,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,1.0,1.0,1.0,1.0,1.0,0.6363636363636364,0.639344262295082,0.78,0.01,22.404805664338692,Frechet,78.75944995799995,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.3883495145631068,0.2857142857142857,0.6060606060606061,0.2604084953078242,0.0,0.030303030303030304,0.027693776858188746,0.04040849530782417,0.02,44.809611328677384,LPGW,1.296215540999981,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9295774647887324,0.868421052631579,1.0,0.9230123418609748,0.3939393939393939,0.3939393939393939,0.5689217270838143,0.7030123418609748,0.02,44.809611328677384,Hausdorff,6.5659910830000285,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.868421052631579,0.7674418604651163,1.0,0.8389702357276407,0.21212121212121213,0.3939393939393939,0.507765314926661,0.6189702357276408,0.02,44.809611328677384,DTW,70.93225058400003,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9295774647887324,0.868421052631579,1.0,0.9067359015802933,0.30303030303030304,0.36363636363636365,0.5689217270838143,0.6867359015802933,0.02,44.809611328677384,Frechet,78.93758575000004,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.37037037037037035,0.26666666666666666,0.6060606060606061,0.24876631483373057,0.0,0.030303030303030304,0.009714632665452305,0.028766314833730572,0.05,112.02402832169346,LPGW,1.3048684999999978,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.6774193548387097,0.7241379310344828,0.6363636363636364,0.6673523361657583,0.09090909090909091,0.030303030303030304,0.3167636171337917,0.4473523361657583,0.05,112.02402832169346,Hausdorff,6.613887625000075,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.6461538461538462,0.65625,0.6363636363636364,0.6245986015194838,0.09090909090909091,0.030303030303030304,0.28549810844892815,0.4045986015194838,0.05,112.02402832169346,DTW,70.95200187499995,150,391,False,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.6774193548387097,0.7241379310344828,0.6363636363636364,0.6043292714187466,0.030303030303030304,0.030303030303030304,0.3167636171337917,0.3843292714187466,0.05,112.02402832169346,Frechet,79.11870354199993,150,391,False,97.9785,1.0,0.2,42
