method,spearman,pearson,auc,dataset,tolerance_m
LPGW,0.09188751406074241,0.23484265065176957,0.6116255144032922,uzhfpv,1.0
Hausdorff,-0.2079606666604471,-0.22712422236491014,0.38245884773662553,uzhfpv,1.0
DTW,-0.22095538057742783,-0.2207714638471,0.37628600823045266,uzhfpv,1.0
Frechet,-0.25308402189344287,-0.2796859229363188,0.35532407407407407,uzhfpv,1.0
