base_rate,all_positive_f1,random_ap,max_f1,precision_at_max_f1,recall_at_max_f1,average_precision,recall_at_100_precision,recall_at_1,f1_over_all_positive,ap_over_random,overlap_ratio,method,runtime_sec,query_points,num_query_segments,num_reference_segments,cost_scale,lambda,distance_lambda,seed
0.22,0.36065573770491804,0.22,0.36666666666666664,0.22448979591836735,1.0,0.17627321638518156,0.0,0.030303030303030304,0.006010928961748596,-0.04372678361481844,1.0,LPGW,2.7745225829999995,50,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9705882352941176,0.9428571428571428,1.0,0.9973501246228518,0.9393939393939394,1.0,0.6099324975891995,0.7773501246228518,1.0,Hausdorff,0.6032387080000001,50,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9850746268656716,0.9705882352941176,1.0,0.9991087344028519,0.9696969696969697,1.0,0.6244188891607536,0.7791087344028519,1.0,DTW,20.135335542,50,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9705882352941176,0.9428571428571428,1.0,0.9973501246228518,0.9393939393939394,0.9696969696969697,0.6099324975891995,0.7773501246228518,1.0,Frechet,54.293557750000005,50,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.36065573770491804,0.22,1.0,0.20528765715040223,0.0,0.030303030303030304,0.0,-0.01471234284959777,0.8,LPGW,2.0359946659999935,40,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9846153846153847,1.0,0.9696969696969697,0.9982683982683982,0.9696969696969697,1.0,0.6239596469104667,0.7782683982683982,0.8,Hausdorff,0.5453126669999904,40,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9850746268656716,0.9705882352941176,1.0,0.9991087344028519,0.9696969696969697,1.0,0.6244188891607536,0.7791087344028519,0.8,DTW,16.604459084,40,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9846153846153847,1.0,0.9696969696969697,0.9982683982683982,0.9696969696969697,0.9696969696969697,0.6239596469104667,0.7782683982683982,0.8,Frechet,43.551802124999995,40,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.36666666666666664,0.22448979591836735,1.0,0.21047536543066522,0.0,0.030303030303030304,0.006010928961748596,-0.009524634569334778,0.6,LPGW,2.1350504160000128,30,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9850746268656716,0.9705882352941176,1.0,0.9991087344028521,0.9696969696969697,0.8181818181818182,0.6244188891607536,0.7791087344028521,0.6,Hausdorff,0.4807181660000026,30,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9850746268656716,0.9705882352941176,1.0,0.999108734402852,0.9696969696969697,0.8484848484848485,0.6244188891607536,0.779108734402852,0.6,DTW,20.952671333000012,30,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9850746268656716,0.9705882352941176,1.0,0.999108734402852,0.9696969696969697,0.7878787878787878,0.6244188891607536,0.779108734402852,0.6,Frechet,32.469153791,30,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.36065573770491804,0.22,1.0,0.23051266815972699,0.0,0.030303030303030304,0.0,0.010512668159726984,0.4,LPGW,1.836754166999981,20,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9565217391304348,0.9166666666666666,1.0,0.984960883093067,0.7272727272727273,0.7575757575757576,0.5958660014255168,0.764960883093067,0.4,Hausdorff,0.44595999999998526,20,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9846153846153847,1.0,0.9696969696969697,0.9967239967239967,0.9696969696969697,0.7575757575757576,0.6239596469104667,0.7767239967239967,0.4,DTW,16.26285949999999,20,150,391,97.9785,1.0,0.2,42
0.22,0.36065573770491804,0.22,0.9565217391304348,0.9166666666666666,1.0,0.9929321679796062,0.8787878787878788,0.7575757575757576,0.5958660014255168,0.7729321679796062,0.4,Frechet,22.08467833399999,20,150,391,97.9785,1.0,0.2,42
