base_rate,all_positive_f1,random_ap,max_f1,average_precision,recall_at_100_precision,recall_at_1,additive_variance,unique_argmins,reference_index,reference_fraction,is_default,diameter_m,runtime_sec,cost_scale,lambda
0.22,0.36065573770491804,0.22,0.36666666666666664,0.17935130511450564,0.0,0.030303030303030304,0.4153702079356365,94,0,0.0,False,45.699515422002904,2.1473379159999997,97.9785,1.0
0.22,0.36065573770491804,0.22,0.36666666666666664,0.17935130511450564,0.0,0.030303030303030304,0.4153702079356365,94,28,0.07179487179487179,True,37.04381007202423,2.1429828339999997,97.9785,1.0
0.22,0.36065573770491804,0.22,0.36666666666666664,0.17935130511450564,0.0,0.030303030303030304,0.4153702079356365,94,98,0.2512820512820513,False,25.271523899165736,2.1273066249999992,97.9785,1.0
0.22,0.36065573770491804,0.22,0.36666666666666664,0.17935130511450564,0.0,0.030303030303030304,0.4153702079356365,94,195,0.5,False,44.81687217364727,2.1235447500000006,97.9785,1.0
0.22,0.36065573770491804,0.22,0.36666666666666664,0.17935130511450564,0.0,0.030303030303030304,0.4153702079356365,94,292,0.7487179487179487,False,62.20060385438805,2.1212578329999996,97.9785,1.0
0.22,0.36065573770491804,0.22,0.36666666666666664,0.17935130511450564,0.0,0.030303030303030304,0.4153702079356365,94,390,1.0,False,32.61710692755664,2.1248298329999997,97.9785,1.0
